"Year","Group","Type","Stdev","SE","Value","Scale"
2003,"ak_skate",NA,18493.1154538054,953.709609428587,372993.66206415,1.87581363416382e-06
2004,"ak_skate",NA,20044.7473365808,1035.10630151351,426630.743147189,1.87581363416382e-06
2005,"ak_skate",NA,24513.6944568662,1269.27098614085,489209.806474047,1.87581363416382e-06
2006,"ak_skate",NA,22246.2805012279,1147.26431795996,438842.559438194,1.87581363416382e-06
2007,"ak_skate",NA,29529.5590619558,1522.87073045775,474067.412623997,1.87581363416382e-06
2008,"ak_skate",NA,19706.8739172568,1017.6585931646,362832.552196422,1.87581363416382e-06
2009,"ak_skate",NA,22006.8526494753,1134.91676929777,351697.921343501,1.87581363416382e-06
2010,"ak_skate",NA,22813.7325079611,1176.5284207588,367965.191322198,1.87581363416382e-06
2011,"ak_skate",NA,19729.6764106806,1017.48037158934,411508.800638212,1.87581363416382e-06
2012,"ak_skate",NA,21749.3512701554,1121.6371496192,371210.362673271,1.87581363416382e-06
2013,"ak_skate",NA,24222.0734587518,1249.15805968989,387528.98899102,1.87581363416382e-06
2014,"ak_skate",NA,20049.1561271976,1033.95627995756,404789.970940697,1.87581363416382e-06
2015,"ak_skate",NA,24464.8941818703,1261.68058233271,448841.923288096,1.87581363416382e-06
2016,"ak_skate",NA,22201.7472757589,1144.9676922143,552022.848799772,1.87581363416382e-06
2017,"ak_skate",NA,38215.614626959,1970.81984325419,545575.30482549,1.87581363416382e-06
2018,"ak_skate",NA,25945.1266148474,1338.0177413714,547310.325677432,1.87581363416382e-06
2019,"ak_skate",NA,23250.9730457502,1199.07737977886,491328.382443813,1.87581363416382e-06
2021,"ak_skate",NA,21795.8896047037,1124.03718097013,469491.4761989,1.87581363416382e-06
2022,"ak_skate",NA,25829.7367245108,1332.06696214657,463947.922463838,1.87581363416382e-06
2023,"ak_skate",NA,33045.9256877206,1704.21349283021,420313.743682898,1.87581363416382e-06
1982,"arrowtooth_adu",NA,7459.45253923883,431.39127877353,69804.9460829406,1.87581363416382e-06
1983,"arrowtooth_adu",NA,8928.65896264199,497.574710739603,101242.033077064,1.87581363416382e-06
1984,"arrowtooth_adu",NA,21636.7934838649,1202.04408243694,159960.467758375,1.87581363416382e-06
1985,"arrowtooth_adu",NA,14176.0539433471,821.19675601908,164041.857778158,1.87581363416382e-06
1986,"arrowtooth_adu",NA,22820.8214205025,1269.78447051773,222152.7951855,1.87581363416382e-06
1987,"arrowtooth_adu",NA,19593.390160278,1078.58063012247,284043.960098395,1.87581363416382e-06
1988,"arrowtooth_adu",NA,33558.7974243068,1814.6519365368,291954.313173757,1.87581363416382e-06
1989,"arrowtooth_adu",NA,34662.8078401369,1794.77215754144,340637.271094957,1.87581363416382e-06
1990,"arrowtooth_adu",NA,34973.6481248176,1893.92922971034,401256.780802575,1.87581363416382e-06
1991,"arrowtooth_adu",NA,36383.9899307641,2033.92686944641,291482.528808683,1.87581363416382e-06
1992,"arrowtooth_adu",NA,47259.9304396612,2563.02958668839,345261.425746324,1.87581363416382e-06
1993,"arrowtooth_adu",NA,41345.0375849576,2229.17503049318,448797.779178296,1.87581363416382e-06
1994,"arrowtooth_adu",NA,44214.6586240204,2456.36992355669,474045.537587385,1.87581363416382e-06
1995,"arrowtooth_adu",NA,63064.7635658758,3498.2036724889,452398.370714401,1.87581363416382e-06
1996,"arrowtooth_adu",NA,53960.6968921463,2909.36579493515,531742.702355768,1.87581363416382e-06
1997,"arrowtooth_adu",NA,58013.662635863,3123.35060352567,458947.575077109,1.87581363416382e-06
1998,"arrowtooth_adu",NA,37897.8181873031,2043.3134167483,344654.926963143,1.87581363416382e-06
1999,"arrowtooth_adu",NA,64070.8172561302,3570.52705187383,243988.449091428,1.87581363416382e-06
2000,"arrowtooth_adu",NA,53157.2875644571,2962.33981992747,318361.609600283,1.87581363416382e-06
2001,"arrowtooth_adu",NA,34190.2169486068,1840.73940325723,377416.037256514,1.87581363416382e-06
2002,"arrowtooth_adu",NA,28672.3099436414,1545.90734768569,312145.535929447,1.87581363416382e-06
2003,"arrowtooth_adu",NA,43586.114888271,2247.78224688197,501129.388060036,1.87581363416382e-06
2004,"arrowtooth_adu",NA,38234.8170848891,1974.43746420083,519454.277053759,1.87581363416382e-06
2005,"arrowtooth_adu",NA,47391.010236725,2453.81349609384,662389.364285264,1.87581363416382e-06
2006,"arrowtooth_adu",NA,45569.5029517185,2453.37956749914,601688.39701067,1.87581363416382e-06
2007,"arrowtooth_adu",NA,36104.6068033507,2002.72324784534,479845.963789363,1.87581363416382e-06
2008,"arrowtooth_adu",NA,44204.7758482582,2383.36178427703,527401.820822884,1.87581363416382e-06
2009,"arrowtooth_adu",NA,38882.3284201441,2093.35419312874,402651.044604728,1.87581363416382e-06
2010,"arrowtooth_adu",NA,41884.1492810565,2254.96679560233,525553.413683697,1.87581363416382e-06
2011,"arrowtooth_adu",NA,39680.6483572111,2046.37318904758,520788.795224078,1.87581363416382e-06
2012,"arrowtooth_adu",NA,42269.7586022154,2275.72730358002,403491.110501942,1.87581363416382e-06
2013,"arrowtooth_adu",NA,35299.0904037083,1900.43914324716,404220.426051954,1.87581363416382e-06
2014,"arrowtooth_adu",NA,31842.9641543566,1714.36756085925,466139.452533635,1.87581363416382e-06
2015,"arrowtooth_adu",NA,24747.8970261676,1311.63591911767,409341.352708712,1.87581363416382e-06
2016,"arrowtooth_adu",NA,23156.509393842,1194.2057889,475884.481022742,1.87581363416382e-06
2017,"arrowtooth_adu",NA,27244.202395701,1405.01245941504,425472.110271462,1.87581363416382e-06
2018,"arrowtooth_adu",NA,36344.0910741373,1874.30338549149,511685.519753682,1.87581363416382e-06
2019,"arrowtooth_adu",NA,38065.4882473057,1963.07766637428,577797.619775406,1.87581363416382e-06
2021,"arrowtooth_adu",NA,37801.9714163939,1949.48782346682,459324.432548048,1.87581363416382e-06
2022,"arrowtooth_adu",NA,61130.047566482,3152.54149224401,522439.255797577,1.87581363416382e-06
2023,"arrowtooth_adu",NA,37893.7539418703,2040.13113233483,464273.563934553,1.87581363416382e-06
1982,"atka",NA,5.09136964518237,0.651883083954206,6.68610176201373,1.87581363416382e-06
1983,"atka",NA,50.535207371896,4.38195821241398,75.2105538532887,1.87581363416382e-06
1984,"atka",NA,70.8894633435589,7.12465913637084,94.4544833846154,1.87581363416382e-06
1985,"atka",NA,17.3044998761875,2.23400132783075,17.450532,1.87581363416382e-06
1986,"atka",NA,22.1528752991019,2.68643072850981,39.2411776569408,1.87581363416382e-06
1988,"atka",NA,52.9279079338481,7.97918234341132,53.5398115909091,1.87581363416382e-06
1989,"atka",NA,7.06791604898005,0.83880731285835,10.107644,1.87581363416382e-06
1990,"atka",NA,59.6789727506291,7.70452225273175,68.832654,1.87581363416382e-06
1991,"atka",NA,49.5795796677388,3.85976504233068,72.9260030330062,1.87581363416382e-06
1992,"atka",NA,38.3923197160925,4.13995030469929,53.344859,1.87581363416382e-06
1993,"atka",NA,8.94357148483092,1.15461011387886,9.019046,1.87581363416382e-06
1994,"atka",NA,27.009781361265,4.32502642405842,27.3628653846154,1.87581363416382e-06
1995,"atka",NA,127.434035255575,25.4868070511149,130.0618176,1.87581363416382e-06
1997,"atka",NA,73.6265582732577,6.83605431868251,108.978338954211,1.87581363416382e-06
1998,"atka",NA,47.2232227260942,6.09649183908022,47.621738,1.87581363416382e-06
1999,"atka",NA,81.3708417707474,7.16430313855335,110.314270724638,1.87581363416382e-06
2000,"atka",NA,6.02856853122662,1.23057639840875,6.15823,1.87581363416382e-06
2001,"atka",NA,49.362509660735,9.68078461538462,50.34008,1.87581363416382e-06
2002,"atka",NA,178.025962207189,18.361975980616,290.242977843478,1.87581363416382e-06
2003,"atka",NA,35.876918892689,3.70042163962229,51.0952276470588,1.87581363416382e-06
2004,"atka",NA,106.923975001642,6.33362965977641,370.583702679825,1.87581363416382e-06
2005,"atka",NA,223.44401353648,22.924872079145,693.987316811594,1.87581363416382e-06
2006,"atka",NA,91.6327160805598,6.61302166196097,213.411582815131,1.87581363416382e-06
2007,"atka",NA,79.457458867633,6.7394936992028,166.33126099473,1.87581363416382e-06
2008,"atka",NA,66.24577801415,5.83261552928045,94.1910449855072,1.87581363416382e-06
2009,"atka",NA,107.182978520715,10.9967415674262,145.199363188406,1.87581363416382e-06
2010,"atka",NA,305.702894777033,26.9156390772806,357.745722652174,1.87581363416382e-06
2011,"atka",NA,21.7617195412661,2.80942591227201,21.945366,1.87581363416382e-06
2012,"atka",NA,231.89947566919,18.6266141219848,315.568574927536,1.87581363416382e-06
2013,"atka",NA,25.3103561686638,4.96376923076923,25.8116,1.87581363416382e-06
2014,"atka",NA,122.334601858525,8.40197495086266,270.763364760616,1.87581363416382e-06
2015,"atka",NA,1599.73862419879,103.478489381411,1723.99553775523,1.87581363416382e-06
2016,"atka",NA,38.9444442876405,5.11365605911428,39.2845768965517,1.87581363416382e-06
2017,"atka",NA,371.730099112863,28.1001542025722,615.713359289855,1.87581363416382e-06
2018,"atka",NA,4785.76459286541,516.062267947501,4904.453648,1.87581363416382e-06
2019,"atka",NA,23.8912205915768,4.68545384615385,24.36436,1.87581363416382e-06
2021,"atka",NA,31.3371431112013,3.8868942285819,43.136991025641,1.87581363416382e-06
2022,"atka",NA,84.1298338280726,5.77806070976677,194.122639723371,1.87581363416382e-06
2023,"atka",NA,12.8677454554604,2.06048832341667,13.0359584178718,1.87581363416382e-06
1982,"bairdi",NA,23557.7827656815,1362.38175374106,144406.531522426,1.87581363416382e-06
1983,"bairdi",NA,8113.27385988544,431.825995558988,64837.8777667308,1.87581363416382e-06
1984,"bairdi",NA,6454.92305853991,358.606836585551,49619.9758275432,1.87581363416382e-06
1985,"bairdi",NA,3223.8372221676,179.657424480345,22227.2005566987,1.87581363416382e-06
1986,"bairdi",NA,4913.55141818253,261.152311442069,27927.3882565518,1.87581363416382e-06
1987,"bairdi",NA,9950.86444208558,547.777059121028,64142.9018391194,1.87581363416382e-06
1988,"bairdi",NA,21133.2065593972,1094.23595766696,119861.927950696,1.87581363416382e-06
1989,"bairdi",NA,14206.231891032,735.570804857821,140543.471551349,1.87581363416382e-06
1990,"bairdi",NA,18452.7088178722,958.016907713061,168602.922524455,1.87581363416382e-06
1991,"bairdi",NA,28531.9643249454,1479.31343803701,189319.377074304,1.87581363416382e-06
1992,"bairdi",NA,25006.3463927827,1325.33370815272,143284.203729848,1.87581363416382e-06
1993,"bairdi",NA,9568.31860708915,494.105848219504,82003.7042053279,1.87581363416382e-06
1994,"bairdi",NA,6988.45905173252,360.402257228325,61813.3063755152,1.87581363416382e-06
1995,"bairdi",NA,7966.05916543083,410.818133608998,50678.4289577239,1.87581363416382e-06
1996,"bairdi",NA,8061.96336613305,427.884587956735,41914.6339991465,1.87581363416382e-06
1997,"bairdi",NA,1946.3248536405,103.155010933131,20357.1962768107,1.87581363416382e-06
1998,"bairdi",NA,2524.15389306567,133.968178646269,21043.1796620045,1.87581363416382e-06
1999,"bairdi",NA,5562.94055059694,288.038143370159,26791.1178955396,1.87581363416382e-06
2000,"bairdi",NA,4733.31334011744,245.410864486246,28971.6992882494,1.87581363416382e-06
2001,"bairdi",NA,5323.57222657551,274.908087678124,41966.4203633287,1.87581363416382e-06
2002,"bairdi",NA,4149.48287630421,220.231684284194,37672.3326304804,1.87581363416382e-06
2003,"bairdi",NA,6537.14955928638,337.127747270964,54063.2924345958,1.87581363416382e-06
2004,"bairdi",NA,5536.3376267315,285.895245697501,49453.6803732739,1.87581363416382e-06
2005,"bairdi",NA,8958.44925271042,463.850919627319,86965.1344257109,1.87581363416382e-06
2006,"bairdi",NA,17091.9234924261,881.448651475902,125456.893885557,1.87581363416382e-06
2007,"bairdi",NA,16726.3920006569,862.597804136531,121472.60213844,1.87581363416382e-06
2008,"bairdi",NA,18255.100276462,942.689324721117,94598.7516070463,1.87581363416382e-06
2009,"bairdi",NA,7698.99062808226,397.045125427569,65428.4942449247,1.87581363416382e-06
2010,"bairdi",NA,8384.66565413951,432.406114922794,64392.7824416468,1.87581363416382e-06
2011,"bairdi",NA,9962.51053131156,528.012002136564,78668.5207374508,1.87581363416382e-06
2012,"bairdi",NA,15725.434904653,846.628955465893,96828.6210178224,1.87581363416382e-06
2013,"bairdi",NA,20546.2046431327,1139.69837472294,115646.604136746,1.87581363416382e-06
2014,"bairdi",NA,11483.9020260715,608.645590091828,127627.838854087,1.87581363416382e-06
2015,"bairdi",NA,7747.90714524669,410.638257422381,88114.9753124984,1.87581363416382e-06
2016,"bairdi",NA,7736.28347661434,410.022204216971,81671.0818754517,1.87581363416382e-06
2017,"bairdi",NA,6788.56102472323,350.093303621195,67371.5173336482,1.87581363416382e-06
2018,"bairdi",NA,5312.0353915624,273.947308186806,61169.2372215235,1.87581363416382e-06
2019,"bairdi",NA,4050.31322946837,208.878955943837,40152.9698671933,1.87581363416382e-06
2021,"bairdi",NA,3990.92592037684,205.81628932608,43659.8492987193,1.87581363416382e-06
2022,"bairdi",NA,3539.65421601673,182.543728140459,38314.2554658255,1.87581363416382e-06
2023,"bairdi",NA,4571.73968055321,235.769471944348,52114.3978701362,1.87581363416382e-06
1982,"ben_zooplankton",NA,206.097109502326,11.9791511657859,595.81033745865,1.87581363416382e-06
1983,"ben_zooplankton",NA,113.228545584954,6.026547392252,378.201897114719,1.87581363416382e-06
1984,"ben_zooplankton",NA,227.757195474705,12.0880968213355,1168.57747020814,1.87581363416382e-06
1985,"ben_zooplankton",NA,2279.72600975583,120.487263514258,3923.30039405631,1.87581363416382e-06
1986,"ben_zooplankton",NA,364.780164501414,19.3878470011003,838.147429381589,1.87581363416382e-06
1987,"ben_zooplankton",NA,1434.56495018457,75.608211567154,4753.29042007052,1.87581363416382e-06
1988,"ben_zooplankton",NA,2139.47502267242,110.777817543145,4124.62794828993,1.87581363416382e-06
1989,"ben_zooplankton",NA,3160.99989249717,163.670370363828,7055.68997703314,1.87581363416382e-06
1990,"ben_zooplankton",NA,2673.20991019039,138.786143384438,5611.59106027077,1.87581363416382e-06
1991,"ben_zooplankton",NA,257.894024584827,13.3711822927043,1049.55789130191,1.87581363416382e-06
1992,"ben_zooplankton",NA,490.863379387391,26.0157070761696,1405.34681758832,1.87581363416382e-06
1993,"ben_zooplankton",NA,764.17586342496,39.4618719015806,2385.79372704615,1.87581363416382e-06
1994,"ben_zooplankton",NA,358.322421734955,21.8880255818826,1166.20549386196,1.87581363416382e-06
1995,"ben_zooplankton",NA,1243.20707826079,64.113509700875,2214.32528591867,1.87581363416382e-06
1996,"ben_zooplankton",NA,305.69513773297,15.7860290327517,1243.0491665474,1.87581363416382e-06
1997,"ben_zooplankton",NA,196.4758793159,10.1324698151899,1046.43754423909,1.87581363416382e-06
1998,"ben_zooplankton",NA,668.695316410645,34.531277655271,1736.39078328836,1.87581363416382e-06
1999,"ben_zooplankton",NA,363.376525977008,18.8149233188344,1245.87058217736,1.87581363416382e-06
2000,"ben_zooplankton",NA,509.905506843348,26.4373689736793,1007.23282375213,1.87581363416382e-06
2001,"ben_zooplankton",NA,469.497465956503,24.2447448898149,1282.30364334643,1.87581363416382e-06
2002,"ben_zooplankton",NA,1796.86072772362,92.789488985703,3893.87732300485,1.87581363416382e-06
2003,"ben_zooplankton",NA,839.181795300326,43.2774966573177,1994.43975532426,1.87581363416382e-06
2004,"ben_zooplankton",NA,3726.69878576063,192.445897781097,8850.25139987163,1.87581363416382e-06
2005,"ben_zooplankton",NA,1802.17719340259,93.3131979553554,5762.12904973622,1.87581363416382e-06
2006,"ben_zooplankton",NA,752.83581896844,38.8245429314344,2137.12875102863,1.87581363416382e-06
2007,"ben_zooplankton",NA,581.858967377024,30.0070850639432,2008.45960937631,1.87581363416382e-06
2008,"ben_zooplankton",NA,1293.58682571262,66.8005364381104,2778.93254395289,1.87581363416382e-06
2009,"ben_zooplankton",NA,339.395438389531,17.502983301914,1281.88794546121,1.87581363416382e-06
2010,"ben_zooplankton",NA,704.988274329406,36.3569942253336,2038.65534391778,1.87581363416382e-06
2011,"ben_zooplankton",NA,852.526832918739,43.9657144239054,1931.69412903048,1.87581363416382e-06
2012,"ben_zooplankton",NA,842.405353899047,43.4437389986818,2838.52817856697,1.87581363416382e-06
2013,"ben_zooplankton",NA,1314.00030544335,67.764391631241,2458.05751745444,1.87581363416382e-06
2014,"ben_zooplankton",NA,225.257101152441,11.6167479999647,802.003918905291,1.87581363416382e-06
2015,"ben_zooplankton",NA,712.176852671285,36.7277168469441,2172.45264665203,1.87581363416382e-06
2016,"ben_zooplankton",NA,405.489666305886,20.911532848314,1591.15428423585,1.87581363416382e-06
2017,"ben_zooplankton",NA,812.981712743552,41.9263305671782,2635.95921382646,1.87581363416382e-06
2018,"ben_zooplankton",NA,1259.92891493942,64.9758725822152,2318.72690168914,1.87581363416382e-06
2019,"ben_zooplankton",NA,279.41978439003,14.4099751122464,1042.69660884097,1.87581363416382e-06
2021,"ben_zooplankton",NA,206.824294067579,10.6661485571889,622.509188475636,1.87581363416382e-06
2022,"ben_zooplankton",NA,1595.35393716525,82.2740973047427,3835.80271283532,1.87581363416382e-06
2023,"ben_zooplankton",NA,831.634447751151,42.8882719265618,2038.10663390529,1.87581363416382e-06
1982,"capelin",NA,650.983811515258,44.7097517356015,2659.85290299278,1.87581363416382e-06
1983,"capelin",NA,624.586525034746,38.0111254305884,2082.26419026189,1.87581363416382e-06
1984,"capelin",NA,322.757802039527,19.6424143097595,2737.94200620234,1.87581363416382e-06
1985,"capelin",NA,514.115776784132,31.1157023089165,1714.81635565616,1.87581363416382e-06
1986,"capelin",NA,2276.0829880876,138.775229042393,6874.55210506502,1.87581363416382e-06
1987,"capelin",NA,225.166645638696,15.2502095500992,958.214176570799,1.87581363416382e-06
1988,"capelin",NA,402.970124569509,25.6403750198029,3088.28962613805,1.87581363416382e-06
1989,"capelin",NA,96.14205876344,6.12979378135364,583.269564765483,1.87581363416382e-06
1990,"capelin",NA,1439.41629849403,85.2636629041087,4478.66091025124,1.87581363416382e-06
1991,"capelin",NA,299.672921876116,16.1105160882384,1864.75666987826,1.87581363416382e-06
1992,"capelin",NA,1066.39121524852,70.1633907562974,5450.00924015634,1.87581363416382e-06
1993,"capelin",NA,14991.5441692159,880.333785791135,23600.9524372657,1.87581363416382e-06
1994,"capelin",NA,205.147721458814,11.6328600464765,1743.32594207052,1.87581363416382e-06
1995,"capelin",NA,1742.28231805622,109.971884777335,2889.5800328761,1.87581363416382e-06
1996,"capelin",NA,42.6775361020195,3.00278096165193,366.158726920235,1.87581363416382e-06
1997,"capelin",NA,678.648222560063,43.1813523435563,1526.78790139811,1.87581363416382e-06
1998,"capelin",NA,53.6096592281422,3.38381168567839,413.234324764138,1.87581363416382e-06
1999,"capelin",NA,223.50333381006,13.1700602462412,1746.77039822589,1.87581363416382e-06
2000,"capelin",NA,673.43825257621,45.4031977264367,2216.112330506,1.87581363416382e-06
2001,"capelin",NA,172.951338168232,11.6339659871025,1426.34954588794,1.87581363416382e-06
2002,"capelin",NA,166.63287929449,10.5177740782754,1244.29625534848,1.87581363416382e-06
2003,"capelin",NA,1336.12848368013,78.4601661486494,2761.03180750947,1.87581363416382e-06
2004,"capelin",NA,1198.94212555663,64.1779005879776,5785.55553652712,1.87581363416382e-06
2005,"capelin",NA,177.86139692033,14.3792416906359,589.735801070937,1.87581363416382e-06
2006,"capelin",NA,309.570191096749,18.1785875571042,2600.90799402427,1.87581363416382e-06
2007,"capelin",NA,113.727760134541,7.17843256737715,456.194236028988,1.87581363416382e-06
2008,"capelin",NA,159.202389425773,9.3648464368102,1717.22150489134,1.87581363416382e-06
2009,"capelin",NA,405.096974493138,21.6533440996004,1932.50746395318,1.87581363416382e-06
2010,"capelin",NA,1372.49210055491,80.5955112570049,5317.28904561483,1.87581363416382e-06
2011,"capelin",NA,1663.45301399586,97.6813244031043,6605.65196234122,1.87581363416382e-06
2012,"capelin",NA,1677.81350333479,89.6829041197382,8375.83925811107,1.87581363416382e-06
2013,"capelin",NA,5273.07501710822,281.857715553945,9520.8448542756,1.87581363416382e-06
2014,"capelin",NA,3072.30825802968,193.92237770595,5061.48056830077,1.87581363416382e-06
2015,"capelin",NA,2322.71526286313,131.709099124098,7916.0095487303,1.87581363416382e-06
2016,"capelin",NA,714.483296776179,38.9203851971385,2145.71227952767,1.87581363416382e-06
2017,"capelin",NA,565.414494778428,37.948136187632,836.705004541011,1.87581363416382e-06
2018,"capelin",NA,11.6279584415698,1.00827186898973,74.0794909735565,1.87581363416382e-06
2019,"capelin",NA,28.2900294466864,1.78565082502205,122.098328160261,1.87581363416382e-06
2021,"capelin",NA,11.7113904954824,0.824010559799909,47.3059168426417,1.87581363416382e-06
2022,"capelin",NA,22.8421219891868,1.4417819554452,117.052784541645,1.87581363416382e-06
2023,"capelin",NA,80.6886618153724,6.03095374280024,301.546902702974,1.87581363416382e-06
1992,"deep_demersals",NA,3.79823218694634,0.849310536433971,3.896904,1.87581363416382e-06
1982,"eelpouts",NA,17574.422091421,961.62959220122,114488.281881378,1.87581363416382e-06
1983,"eelpouts",NA,16509.8664911105,961.241590391976,91897.5420607998,1.87581363416382e-06
1984,"eelpouts",NA,5331.71449617055,282.97802367603,32021.1452695122,1.87581363416382e-06
1985,"eelpouts",NA,1858.31173787177,107.289678209851,14582.9609017853,1.87581363416382e-06
1986,"eelpouts",NA,950.806477045452,50.5347940993677,9351.62348619748,1.87581363416382e-06
1987,"eelpouts",NA,3020.47820139449,166.271852654469,26814.0168891744,1.87581363416382e-06
1988,"eelpouts",NA,4687.49882084972,242.709488826459,46480.6840246882,1.87581363416382e-06
1989,"eelpouts",NA,10150.0422492714,571.890092843061,61700.4617522875,1.87581363416382e-06
1990,"eelpouts",NA,8632.14030684044,448.158394809491,56746.0254441067,1.87581363416382e-06
1991,"eelpouts",NA,4102.51803023621,212.705651205778,42985.795376192,1.87581363416382e-06
